lastimero		pitiful
lastimar		to hurt
los muebles		the funiture
chorro			stream
pana			corduroy
sacudir			to shake
comprobar		to check/to prove
asomar			to stick out
chorrear		to drip/to gush
apartar			to move away
empapado		soaked/drenched
mechón			lock/tuft of hair
liso			smooth/plain/straight(hair)
avidez			eagerness
fijar			to fix
fijamente		intently
a través de		through
escupir			to spit
nuca			nape/back of the neck
salto			jump
puño			fist
tramposo		cheat
rendir			to produce
rendirse		to admit defeat/give up/give in/surrender
arrojar			to throw
bajito			shortish
flaco			thin
canoso			grey-haired
sien			temple (anatomy)
pómulo			cheekbone
sobresalir		to stick out, to stand out

