el martillo		hammer
la madera		wood
turno			workshift
el zócalo		main square
la costumbre		custom
cuadra			block
señal			sign
detenidamente		fully
próximamente		soon
alambre			wire
actualmente		currently
ayuntamiento		townhall/cityhall
barrer			to sweep
la acera		sidewalk
últimamente		lately
el jábon		soap
la cadera		hip
el ciervo		deer
el vecindario		neighborhood 1
tirar			to throw
voltear			to turn/toss
girar			to turn
vuelta			turn 1
giro			turn 2
doblar			to bend/turn
los puntos candinales	cardinal points
la huelga		worker strike
el rascacielos		skyscraper
subir			to climb/rise/come up
bajar			to lower/go down
la ciruela		plum
el poste de luz		streetlight
de repente		suddenly 2
ladrar			to bark
ligeramente		lightly
únicamente		solely
el ejército		army
el carril		lane
la correa		leash
el rebaño		flock
prolongación		continuation
el estadio		stadium
cuál			which
la fuente		fountain/source
legar de trabajo	workplace
el perejil		parsley
poner			to put
la dirección		address
la paloma		pigeon
el último		last
las chapas		plates
el ascensor		elevator
obrero calificado	qualified worker
el paradero de autobuses	bustop
el calzado		shoe shop
amarrar			to tie up
enseñar			to teach/show
la peatona		pedestrian
la pared		wall
tomar			take
el tocador		dressing table
la biblioteca		library
nuevamente		again
