abajar/bajar		to go down
abalanzar		to balance
abalanzarse		to hurl oneself
abalar			to move/to shake
abalear			to shoot at/wound or kill by gunshot
abalizar		to mark with buoys
abanar			to cool with a fan
abandonar		to abandon
abanicar		to fan
abaratar		to make cheaper/reduce prices
abdicar			to abdicate
abducir			to abduct
aberrar			to err/to be mistaken
abjurar			to abjure/renounce
ablandecer		to soften
abnegar			to abnegate/forego
abnegarse		to go without/deny oneself
abofetear		to slap in the face
abominar		to abominate
abonar			to buy a subscription
abonarse		to subscribe oneself
abordar			to board
aborrecer		to abhor/detest
abrigar			to shelter/protect
abrochar		to button up/fasten
abrogar			to abrogate/revoke/annul
abrumar/brumar		to crush/oppress/overwhelm
absorber		to absorb
abstraer		to abstract
abusar			to abuse
acachetear		to slap in the face
acamar			to flatten
acaparar		to buy up/hoard
acceder			to accede/agree
acechar			to watch/to spy on
acentuar		to accentuate/mark with an accent
acertar			to guess right
acoger			to receive hospitably/welcome
acomodar		to accommodate/arrange/hire
acompasar		to measure
acopiar			to classify/collect/gather
acorrer			to run to someone's aid/help/assist
acostar			to put to bed
acrecentar		to increase
acrecer			to augment/increase
activar			to activate
actuar			to act/behave
acumular		to accumulate
adaptar			to adapt
adestrar		to train/instruct/direct
adicionar		to add
administrar		to administrate
adornar			to adorn
adscribir		to ascribe/assign/attribute
adular			to adulate/flatter
advenir			to arrive/come
afamar			to make famous
afamarse		to become famous
afanar			to hurry/to rob/steal
afear			to deform/make ugly
afectar			to affect
afeitar			to shave
afianzar		to fasten
aficionar		to induce a liking for
aficionarse a		to become fond of
afirmar			to affirm/assert
afligir			to afflict/distress
afluir			to flow
afrontar		to confront/face
agraviar		to wrong/injure/offend
agriar			to make sour
agrietar		to crack/split
aguachar		to flood/fill with water
aguantar		to bear/endure
aguar			to dilute
ahogarse		to drown
ahumar			to cure in smoke/fill with smoke
adjustar		to adjust
alambrar		to fence with wire
alanzar			to lance
alardear		to boast/brag/show off
alargar			to lengthen
alarmar			to alarm
alentar			to breathe/encourage/inspire
alienar			to alienate
aligar			to bind/tie
alimentar		to feed/nourish
almacenar		to store
alocar			to make someone crazy
alojar			to lodge/give accomodation to
amplificar		to amplify/enlarge
analizar		to analyze
animar			to animate
anotar			to annotate/write notes about
antepagar		to pay in advance
anteponer		to place before/to prefer
anular			to annul/cancel
apaciguar		to pacify/calm/soothe
aparar			to prepare
apetecer		to crave for/long for
aplicar			to apply
apocar			to lessen/reduce
apoderar		to empower
apostar			to bet/wager
aprehender		to apprehend
aprestar		to make ready/prepare
apresurar		to accelerate/hurry
apretar			to grip/press
apropiar		to appropriate money/adapt
aprovechar		to make use of
apurar			to purify/exhaust/consume
arar			to plow
argüir			to argue/reason
armar			to arm
arrendar		to lease/let/rent
arrepentirse de		to repent for/regret
arrestar		to arrest/detain
asaltar			to assault/attack
asentar			to seat/set down
asentir			to assent/agree
asomar			to appear slowly (as through an opening)
asomarse		to lean out/look out (as out a window)
asombrar		to amaze/astonish
aspirar			to breathe in/inhale
asurarse		to get burned
atar			to bind/tie
atender			to look after/attend to/pay attention
aterrizar		to land
atravesar/travesar	to cross/cross over/go through
atribuir		to attribute
aumentar		to augment/increase
autorizar		to authorize	
avenir			to reconcile
aventurarse		to venture/risk
avisar			to advise/inform/warm/notify
ayunar			to fast/go without food
bañar			to bathe
batallar		to fight/battle/struggle
batir			to beat/whip
besar			to kiss
blasfemar		to blaspheme/curse
bogar			to row
bonificar		to increase production
boxear			to box
bregar			to fight/brawl
brillar			to shine
brincar			to bounce/jump/skip
brindar			to offer/invite/drink a toast
bromear			to joke
brumar/abrumar		to crush/oppress/overwhelm
bufonearse		to jest/joke
