andar			to work
adventir		to warn
nadie			no one
nunca			never
ningún			none
ninguno/a		no one/none
alguien			someone
alguno/a		some/someone
tratar			to treat
traer			to bring
pista			track/trace/clue/hint
luchar			to fight
pelear			to fight 2
penar			to punish
magnicidio		assassination
un trago		a drink
peso			weight
golpe			hit
golpear			to hit
romper			to break
regresar		to return
atrincherar		to entrench
platicar		to talk
postor			bidder
al mejor postor		to the highest bidder
la raíz			the root
el circo		the circus
trato			deal
parar			to stop
gabacho			French person/American person (perjorative)
colar			to strain
quemar			to burn
atrevido		daring/bold/adventurous
atreverse a		to dare
apoyo			support
apoyar			to support
centavo			cent
sapo			toad
tesoro			treasure
