abajar/bajar		to go down
abalanzarse		to hurl oneself
abalanzar		to balance
abalar			to move/to shake
abalear			to shoot at/wound or kill by gunshot
abalizar		to mark with buoys
abanar			to cool with a fan
abandonar		to abandon
abanicar		to fan
abaratar		to make cheaper/reduce prices
abatir			to knock down, throw down, to overthrow
abdicar			to abdicate
abducir			to abduct
aberrar			to err/to be mistaken
abjurar			to abjure/renounce
ablandecer		to soften
abnegarse		to go without/deny oneself
abnegar			to abnegate/forego
abofetear		to slap in the face
abominar		to abominate
abonarse		to subscribe oneself
abonar			to buy a subscription
abordar			to board
aborrecer		to abhor/detest
abrasar			to burn, to set on fire
abrazar			to embrace, to hug, to clamp
abrigar			to shelter/protect
abrir			to open
abrochar		to button up/fasten
abrogar			to abrogate/revoke/annul
abrumar/brumar		to crush/oppress/overwhelm
absolver		to absolve, to acquit
absorber		to absorb
abstenerse		to abstain
abstraer		to abstract
aburrirse		to be bored, to grow tired, to grow weary
aburrir			to annoy, to bore, to vex
abusar			to abuse
acabar			to finish, to end, to complete
acachetear		to slap in the face
acamar			to flatten
acaparar		to buy up/hoard
acceder			to accede/agree
acechar			to watch/to spy on
acelerar		to accelerate, to speed, to hasten, to hurry
acentuar		to accentuate/mark with an accent
aceptar			to accept
acercarse		to approach, to draw near
acercar			to bring near, to place near
acertar			to guess right
acertar			to hit the mark, to hit upon, to do/guess (thing) right
aclamar			to acclaim, to applaud, to shout, to hail
aclarar			to explain, to clarify, to make clear, to clear
acoger			to receive hospitably/welcome
acomodar		to accommodate/arrange/hire
acompañar		to accompany, to escort, to go with, to keep company
acompasar		to measure
aconsejar		to advise, to counsel
acopiar			to classify/collect/gather
acordarse		to remember, to agree
acordar			to agree (upon)
acorrer			to run to someone's aid/help/assist
acortarse		to go to bed, to lie down
acostar			to put to bed
acostumbrar		to be accustomed, to be in the habit of
acrecentar		to increase
acrecer			to augment/increase
activar			to activate
actuar			to act/behave
acuchillar		to knife, to cut, to slash, to cut open
acudir			to attend, to be present frequenly, to come to rescue
acumular		to accumulate
acusar			to accuse
adaptar			to adapt
adelantarse		to go forward, to go ahead, to move ahead, to take lead
adelantar		to advance, to keep on, to progress, to go ahead
adestrar		to train/instruct/direct
adicionar		to add
adivinar		to divine, to foretell, to guess, to solve
adjustar		to adjust
administrar		to administrate
admirar			to admire
admitir			to admit, to grant, to permit
adoptar			to adopt
adorar			to adore, to worship
adornar			to adorn
adquirir		to acquire, to get, to obtain
adscribir		to ascribe/assign/attribute
adular			to adulate/flatter
advenir			to arrive/come
advertir		to advise, to give notice
afamarse		to become famous
afamar			to make famous
afanar			to hurry/to rob/steal
afear			to deform/make ugly
afectar			to affect
afeitarse		to shave oneself
afeitar			to shave
afianzar		to fasten
aficionarse a		to become fond of
aficionar		to induce a liking for
afirmar			to affirm/assert
afligir			to afflict/distress
afluir			to flow
afrontar		to confront/face
agarrar			to grasp, to obtain, to seize, to catch, to clutch
agitar			to agitate, to wave, to shake up, to stir
agotar			to exhaust, to use up
agradar			to please, to be pleasing
agradecer		to thank, to be thankful for
